Id,Answer
0,0
1,0
2,1
3,0
4,4
5,3
6,1
7,1
8,0
9,4
10,3
11,2
12,4
13,0
14,5
15,2
16,5
17,4
18,3
19,4
20,4
21,0
22,3
23,1
24,0
25,1
26,2
27,5
28,4
29,3
30,1
31,1
32,5
33,4
34,0
35,1
36,3
37,2
38,5
39,0
40,3
41,0
42,4
43,0
44,3
45,5
46,1
47,3
48,1
49,5
50,3
51,3
52,5
53,4
54,5
55,1
56,5
57,1
58,2
59,0
60,1
61,2
62,0
63,5
64,2
65,2
66,5
67,3
68,0
69,4
70,5
71,5
72,0
73,5
74,5
75,4
76,2
77,0
78,5
79,1
80,0
81,2
82,4
83,2
84,1
85,2
86,5
87,2
88,4
89,0
90,3
91,0
92,3
93,5
94,4
95,3
96,4
97,5
98,2
99,0
100,4
101,2
102,4
103,0
104,1
105,2
106,3
107,0
108,2
109,5
110,3
111,1
112,4
113,1
114,0
115,5
116,3
117,0
118,2
119,0
120,2
121,4
122,4
123,2
124,2
125,2
126,1
127,5
128,0
129,1
130,3
131,2
132,2
133,4
134,0
135,4
136,4
137,3
138,4
139,4
140,3
141,5
142,4
143,0
144,3
145,4
146,1
147,2
148,1
149,5
150,2
151,0
152,0
153,0
154,3
155,1
156,5
157,2
158,0
159,4
160,2
161,4
162,1
163,5
164,5
165,3
166,3
167,3
168,0
169,1
170,1
171,5
172,4
173,3
174,5
175,0
176,3
177,3
178,1
179,5
180,1
181,5
182,1
183,4
184,5
185,4
186,1
187,3
188,3
189,4
190,3
191,2
192,1
193,2
194,4
195,3
196,0
197,4
198,5
199,2
200,5
201,4
202,5
203,0
204,5
205,5
206,5
207,2
208,2
209,5
210,5
211,0
212,4
213,4
214,3
215,1
216,2
217,0
218,2
219,4
220,0
221,1
222,1
223,5
224,3
225,2
226,1
227,0
228,0
229,1
230,5
231,5
232,0
233,0
234,4
235,5
236,4
237,4
238,5
239,0
240,2
241,5
242,5
243,1
244,1
245,5
246,3
247,3
248,4
249,2
250,5
251,3
252,0
253,0
254,4
255,4
256,2
257,3
258,1
259,3
260,3
261,0
262,1
263,3
264,1
265,2
266,1
267,5
268,3
269,1
270,0
271,2
272,5
273,0
274,4
275,2
276,0
277,2
278,5
279,4
280,2
281,4
282,2
283,4
284,3
285,5
286,3
287,4
288,1
289,5
290,4
291,5
292,3
293,1
294,3
295,3
296,4
297,4
298,1
299,5
300,0
301,3
302,0
303,0
304,4
305,4
306,2
307,0
308,5
309,2
310,3
311,1
312,5
313,3
314,1
315,4
316,4
317,5
318,3
319,5
320,4
321,5
322,1
323,5
324,3
325,1
326,2
327,2
328,2
329,5
330,3
331,2
332,2
333,2
334,4
335,2
336,0
337,3
338,2
339,2
340,1
341,5
342,1
343,2
344,3
345,3
346,0
347,0
348,5
349,1
350,5
351,1
352,0
353,2
354,2
355,2
356,0
357,4
358,3
359,0
360,3
361,2
362,4
363,0
364,1
365,1
366,3
367,3
368,2
369,1
370,0
371,1
372,0
373,4
374,1
375,5
376,2
377,0
378,0
379,0
380,3
381,0
382,5
383,4
384,3
385,5
386,5
387,0
388,2
389,5
390,3
391,4
392,5
393,3
394,1
395,0
396,0
397,2
398,2
399,5
400,0
401,2
402,3
403,0
404,5
405,1
406,1
407,1
408,1
409,1
410,3
411,4
412,3
413,5
414,3
415,4
416,3
417,3
418,4
419,3
420,5
421,4
422,1
423,4
424,3
425,2
426,1
427,2
428,2
429,4
430,5
431,0
432,1
433,3
434,2
435,1
436,5
437,2
438,3
439,0
440,3
441,5
442,5
443,4
444,1
445,4
446,3
447,2
448,3
449,5
450,4
451,1
452,4
453,5
454,0
455,2
456,5
457,4
458,4
459,1
460,5
461,3
462,2
463,5
464,4
465,2
466,1
467,0
468,3
469,2
470,2
471,1
472,2
473,5
474,3
475,5
476,5
477,1
478,0
479,2
480,1
481,3
482,5
483,5
484,2
485,5
486,5
487,2
488,5
489,1
490,0
491,2
492,1
493,1
494,4
495,5
496,2
497,5
498,1
499,5
